Designator,Mid X,Mid Y,Layer,Rotation
C4,135.276705,-178.822290,Top,-45.000000
C5,129.776705,-178.822290,Top,-45.000000
C9,107.776705,-178.822290,Top,-45.000000
C10,102.276705,-178.822290,Top,-45.000000
C11,99.223295,-170.677710,Top,135.000000
C12,104.723295,-170.677710,Top,135.000000
C13,110.223295,-170.677710,Top,135.000000
C14,115.723295,-170.677710,Top,135.000000
C15,121.223295,-170.677710,Top,135.000000
C16,126.723295,-170.677710,Top,135.000000
C17,132.223295,-170.677710,Top,135.000000
C18,137.723295,-170.677710,Top,135.000000
C19,143.223295,-170.677710,Top,135.000000
C20,146.276705,-167.822290,Top,-45.000000
C21,140.776705,-167.822290,Top,-45.000000
C22,135.276705,-167.822290,Top,-45.000000
C23,129.776705,-167.822290,Top,-45.000000
C24,124.276705,-167.822290,Top,-45.000000
C25,118.776705,-167.822290,Top,-45.000000
C26,113.276705,-167.822290,Top,-45.000000
C27,107.776705,-167.822290,Top,-45.000000
C28,102.276705,-167.822290,Top,-45.000000
C29,96.776705,-167.822290,Top,-45.000000
C30,91.276705,-167.822290,Top,-45.000000
C31,93.723295,-159.677710,Top,135.000000
C32,99.223295,-159.677710,Top,135.000000
C33,104.723295,-159.677710,Top,135.000000
C34,110.223295,-159.677710,Top,135.000000
C35,115.723295,-159.677710,Top,135.000000
C36,121.223295,-159.677710,Top,135.000000
C37,126.723295,-159.677710,Top,135.000000
C38,132.223295,-159.677710,Top,135.000000
C39,137.723295,-159.677710,Top,135.000000
C40,143.223295,-159.677710,Top,135.000000
C41,148.723295,-159.677710,Top,135.000000
C42,151.776705,-156.822290,Top,-45.000000
C43,146.276705,-156.822290,Top,-45.000000
C44,140.776705,-156.822290,Top,-45.000000
C45,135.276705,-156.822290,Top,-45.000000
C46,129.776705,-156.822290,Top,-45.000000
C47,124.276705,-156.822290,Top,-45.000000
C48,118.776705,-156.822290,Top,-45.000000
C49,113.276705,-156.822290,Top,-45.000000
C50,107.776705,-156.822290,Top,-45.000000
C51,102.276705,-156.822290,Top,-45.000000
C52,96.776705,-156.822290,Top,-45.000000
C53,91.276705,-156.822290,Top,-45.000000
C54,85.776705,-156.822290,Top,-45.000000
C55,88.223295,-148.677710,Top,135.000000
C56,93.723295,-148.677710,Top,135.000000
C57,99.223295,-148.677710,Top,135.000000
C58,104.723295,-148.677710,Top,135.000000
C59,110.223295,-148.677710,Top,135.000000
C60,115.723295,-148.677710,Top,135.000000
C61,121.223295,-148.677710,Top,135.000000
C62,126.723295,-148.677710,Top,135.000000
C63,132.223295,-148.677710,Top,135.000000
C64,137.723295,-148.677710,Top,135.000000
C65,143.223295,-148.677710,Top,135.000000
C66,148.723295,-148.677710,Top,135.000000
C67,154.223295,-148.677710,Top,135.000000
C68,151.776705,-145.822290,Top,-45.000000
C69,146.276705,-145.822290,Top,-45.000000
C70,140.776705,-145.822290,Top,-45.000000
C71,135.276705,-145.822290,Top,-45.000000
C72,129.776705,-145.822290,Top,-45.000000
C73,124.276705,-145.822290,Top,-45.000000
C74,118.776705,-145.822290,Top,-45.000000
C75,113.276705,-145.822290,Top,-45.000000
C76,107.776705,-145.822290,Top,-45.000000
C77,102.276705,-145.822290,Top,-45.000000
C78,96.776705,-145.822290,Top,-45.000000
C79,91.276705,-145.822290,Top,-45.000000
C80,85.776705,-145.822290,Top,-45.000000
C81,93.723295,-137.677710,Top,135.000000
C82,99.223295,-137.677710,Top,135.000000
C83,104.723295,-137.677710,Top,135.000000
C84,110.223295,-137.677710,Top,135.000000
C85,115.723295,-137.677710,Top,135.000000
C86,121.223295,-137.677710,Top,135.000000
C87,126.723295,-137.677710,Top,135.000000
C88,132.223295,-137.677710,Top,135.000000
C89,137.723295,-137.677710,Top,135.000000
C90,143.223295,-137.677710,Top,135.000000
C91,148.723295,-137.677710,Top,135.000000
C92,146.276705,-134.822290,Top,-45.000000
C93,140.776705,-134.822290,Top,-45.000000
C94,135.276705,-134.822290,Top,-45.000000
C95,129.776705,-134.822290,Top,-45.000000
C96,124.276705,-134.822290,Top,-45.000000
C97,118.776705,-134.822290,Top,-45.000000
C98,113.276705,-134.822290,Top,-45.000000
C99,107.776705,-134.822290,Top,-45.000000
C100,102.276705,-134.822290,Top,-45.000000
C101,96.776705,-134.822290,Top,-45.000000
C102,91.276705,-134.822290,Top,-45.000000
C103,99.223295,-126.677710,Top,135.000000
C104,104.723295,-126.677710,Top,135.000000
C105,110.223295,-126.677710,Top,135.000000
C106,115.723295,-126.677710,Top,135.000000
C107,121.223295,-126.677710,Top,135.000000
C108,126.723295,-126.677710,Top,135.000000
C109,132.223295,-126.677710,Top,135.000000
C110,137.723295,-126.677710,Top,135.000000
C111,143.223295,-126.677710,Top,135.000000
C112,135.276705,-123.822290,Top,-45.000000
C113,129.776705,-123.822290,Top,-45.000000
C114,124.276705,-123.822290,Top,-45.000000
C115,118.776705,-123.822290,Top,-45.000000
C116,113.276705,-123.822290,Top,-45.000000
C117,107.776705,-123.822290,Top,-45.000000
C118,102.276705,-123.822290,Top,-45.000000
C119,115.723295,-115.677710,Top,135.000000
C120,121.223295,-115.677710,Top,135.000000
C121,126.723295,-115.677710,Top,135.000000
C122,134.500000,-175.500000,Top,45.000000
C123,94.593091,-169.453100,Top,90.000000
C124,99.929272,-169.279868,Top,90.000000
D4,136.500000,-177.500000,Top,45.000000
D5,131.000000,-177.500000,Top,45.000000
D9,109.000000,-177.500000,Top,45.000000
D10,103.500000,-177.500000,Top,45.000000
D11,98.000000,-172.000000,Top,-135.000000
D12,103.500000,-172.000000,Top,-135.000000
D13,109.000000,-172.000000,Top,-135.000000
D14,114.500000,-172.000000,Top,-135.000000
D15,120.000000,-172.000000,Top,-135.000000
D16,125.500000,-172.000000,Top,-135.000000
D17,131.000000,-172.000000,Top,-135.000000
D18,136.500000,-172.000000,Top,-135.000000
D19,142.000000,-172.000000,Top,-135.000000
D20,147.500000,-166.500000,Top,45.000000
D21,142.000000,-166.500000,Top,45.000000
D22,136.500000,-166.500000,Top,45.000000
D23,131.000000,-166.500000,Top,45.000000
D24,125.500000,-166.500000,Top,45.000000
D25,120.000000,-166.500000,Top,45.000000
D26,114.500000,-166.500000,Top,45.000000
D27,109.000000,-166.500000,Top,45.000000
D28,103.500000,-166.500000,Top,45.000000
D29,98.000000,-166.500000,Top,45.000000
D30,92.500000,-166.500000,Top,45.000000
D31,92.500000,-161.000000,Top,-135.000000
D32,98.000000,-161.000000,Top,-135.000000
D33,103.500000,-161.000000,Top,-135.000000
D34,109.000000,-161.000000,Top,-135.000000
D35,114.500000,-161.000000,Top,-135.000000
D36,120.000000,-161.000000,Top,-135.000000
D37,125.500000,-161.000000,Top,-135.000000
D38,131.000000,-161.000000,Top,-135.000000
D39,136.500000,-161.000000,Top,-135.000000
D40,142.000000,-161.000000,Top,-135.000000
D41,147.500000,-161.000000,Top,-135.000000
D42,153.000000,-155.500000,Top,45.000000
D43,147.500000,-155.500000,Top,45.000000
D44,142.000000,-155.500000,Top,45.000000
D45,136.500000,-155.500000,Top,45.000000
D46,131.000000,-155.500000,Top,45.000000
D47,125.500000,-155.500000,Top,45.000000
D48,120.000000,-155.500000,Top,45.000000
D49,114.500000,-155.500000,Top,45.000000
D50,109.000000,-155.500000,Top,45.000000
D51,103.500000,-155.500000,Top,45.000000
D52,98.000000,-155.500000,Top,45.000000
D53,92.500000,-155.500000,Top,45.000000
D54,87.000000,-155.500000,Top,45.000000
D55,87.000000,-150.000000,Top,-135.000000
D56,92.500000,-150.000000,Top,-135.000000
D57,98.000000,-150.000000,Top,-135.000000
D58,103.500000,-150.000000,Top,-135.000000
D59,109.000000,-150.000000,Top,-135.000000
D60,114.500000,-150.000000,Top,-135.000000
D61,120.000000,-150.000000,Top,-135.000000
D62,125.500000,-150.000000,Top,-135.000000
D63,131.000000,-150.000000,Top,-135.000000
D64,136.500000,-150.000000,Top,-135.000000
D65,142.000000,-150.000000,Top,-135.000000
D66,147.500000,-150.000000,Top,-135.000000
D67,153.000000,-150.000000,Top,-135.000000
D68,153.000000,-144.500000,Top,45.000000
