chain_index,led_ref,cap_ref,x_mm,y_mm,row,col
1,D1,C1,114.500,183.000,0,5
2,D2,C2,120.000,183.000,0,6
3,D3,C3,125.500,183.000,0,7
4,D4,C4,136.500,177.500,1,9
5,D5,C5,131.000,177.500,1,8
6,D6,C6,125.500,177.500,1,7
7,D7,C7,120.000,177.500,1,6
8,D8,C8,114.500,177.500,1,5
9,D9,C9,109.000,177.500,1,4
10,D10,C10,103.500,177.500,1,3
11,D11,C11,98.000,172.000,2,2
12,D12,C12,103.500,172.000,2,3
13,D13,C13,109.000,172.000,2,4
14,D14,C14,114.500,172.000,2,5
15,D15,C15,120.000,172.000,2,6
16,D16,C16,125.500,172.000,2,7
17,D17,C17,131.000,172.000,2,8
18,D18,C18,136.500,172.000,2,9
19,D19,C19,142.000,172.000,2,10
20,D20,C20,147.500,166.500,3,11
21,D21,C21,142.000,166.500,3,10
22,D22,C22,136.500,166.500,3,9
23,D23,C23,131.000,166.500,3,8
24,D24,C24,125.500,166.500,3,7
25,D25,C25,120.000,166.500,3,6
26,D26,C26,114.500,166.500,3,5
27,D27,C27,109.000,166.500,3,4
28,D28,C28,103.500,166.500,3,3
29,D29,C29,98.000,166.500,3,2
30,D30,C30,92.500,166.500,3,1
31,D31,C31,92.500,161.000,4,1
32,D32,C32,98.000,161.000,4,2
33,D33,C33,103.500,161.000,4,3
34,D34,C34,109.000,161.000,4,4
35,D35,C35,114.500,161.000,4,5
36,D36,C36,120.000,161.000,4,6
37,D37,C37,125.500,161.000,4,7
38,D38,C38,131.000,161.000,4,8
39,D39,C39,136.500,161.000,4,9
40,D40,C40,142.000,161.000,4,10
41,D41,C41,147.500,161.000,4,11
42,D42,C42,153.000,155.500,5,12
43,D43,C43,147.500,155.500,5,11
44,D44,C44,142.000,155.500,5,10
45,D45,C45,136.500,155.500,5,9
46,D46,C46,131.000,155.500,5,8
47,D47,C47,125.500,155.500,5,7
48,D48,C48,120.000,155.500,5,6
49,D49,C49,114.500,155.500,5,5
50,D50,C50,109.000,155.500,5,4
51,D51,C51,103.500,155.500,5,3
52,D52,C52,98.000,155.500,5,2
53,D53,C53,92.500,155.500,5,1
54,D54,C54,87.000,155.500,5,0
55,D55,C55,87.000,150.000,6,0
56,D56,C56,92.500,150.000,6,1
57,D57,C57,98.000,150.000,6,2
58,D58,C58,103.500,150.000,6,3
59,D59,C59,109.000,150.000,6,4
60,D60,C60,114.500,150.000,6,5
61,D61,C61,120.000,150.000,6,6
62,D62,C62,125.500,150.000,6,7
63,D63,C63,131.000,150.000,6,8
64,D64,C64,136.500,150.000,6,9
65,D65,C65,142.000,150.000,6,10
66,D66,C66,147.500,150.000,6,11
67,D67,C67,153.000,150.000,6,12
68,D68,C68,153.000,144.500,7,12
69,D69,C69,147.500,144.500,7,11
70,D70,C70,142.000,144.500,7,10
71,D71,C71,136.500,144.500,7,9
72,D72,C72,131.000,144.500,7,8
73,D73,C73,125.500,144.500,7,7
74,D74,C74,120.000,144.500,7,6
75,D75,C75,114.500,144.500,7,5
76,D76,C76,109.000,144.500,7,4
77,D77,C77,103.500,144.500,7,3
78,D78,C78,98.000,144.500,7,2
79,D79,C79,92.500,144.500,7,1
80,D80,C80,87.000,144.500,7,0
81,D81,C81,92.500,139.000,8,1
82,D82,C82,98.000,139.000,8,2
83,D83,C83,103.500,139.000,8,3
84,D84,C84,109.000,139.000,8,4
85,D85,C85,114.500,139.000,8,5
86,D86,C86,120.000,139.000,8,6
87,D87,C87,125.500,139.000,8,7
88,D88,C88,131.000,139.000,8,8
89,D89,C89,136.500,139.000,8,9
90,D90,C90,142.000,139.000,8,10
91,D91,C91,147.500,139.000,8,11
92,D92,C92,147.500,133.500,9,11
93,D93,C93,142.000,133.500,9,10
94,D94,C94,136.500,133.500,9,9
95,D95,C95,131.000,133.500,9,8
96,D96,C96,125.500,133.500,9,7
97,D97,C97,120.000,133.500,9,6
98,D98,C98,114.500,133.500,9,5
99,D99,C99,109.000,133.500,9,4
100,D100,C100,103.500,133.500,9,3
101,D101,C101,98.000,133.500,9,2
102,D102,C102,92.500,133.500,9,1
103,D103,C103,98.000,128.000,10,2
104,D104,C104,103.500,128.000,10,3
105,D105,C105,109.000,128.000,10,4
106,D106,C106,114.500,128.000,10,5
107,D107,C107,120.000,128.000,10,6
108,D108,C108,125.500,128.000,10,7
109,D109,C109,131.000,128.000,10,8
110,D110,C110,136.500,128.000,10,9
111,D111,C111,142.000,128.000,10,10
112,D112,C112,136.500,122.500,11,9
113,D113,C113,131.000,122.500,11,8
114,D114,C114,125.500,122.500,11,7
115,D115,C115,120.000,122.500,11,6
116,D116,C116,114.500,122.500,11,5
117,D117,C117,109.000,122.500,11,4
118,D118,C118,103.500,122.500,11,3
119,D119,C119,114.500,117.000,12,5
120,D120,C120,120.000,117.000,12,6
121,D121,C121,125.500,117.000,12,7
